# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sub.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             177   N   00000418   0000830e   0000041a   ---        --------
             178   N   0000041a   00000205   0000041c   x06_t1     00000003
             179   N   0000041c   00004289   0000041e   x04_tp     00000001
             180   N   0000041e   fe5218e3   00000420   x05_t0     00000002
             181   N   00000420   00004e8d   00000410   ---        --------
             184   N   00000410   0000412d   00000412   x01_ra     0000000e
             185   N   00000412   402081b3   00000414   x02_sp     0000000b
             186   N   00000414   00000001   00000418   x03_gp     00000003
             187   N   00000418   0000830e   0000041a   ---        --------
             188   N   0000041a   00000205   0000041c   x06_t1     00000003
             189   N   0000041c   00004289   0000041e   x04_tp     00000002
             190   N   0000041e   fe5218e3   00000420   x05_t0     00000002
             191   N   00000420   00004e8d   00000424   ---        --------
             192   N   00000424   00004e51   00000426   x29_t4     00000003
             193   N   00000426   1dd31563   00000428   x28_t3     00000014
             194   N   00000428   00004201   0000042c   ---        --------
             195   N   0000042c   000040bd   0000042e   x04_tp     00000000
             196   N   0000042e   0000412d   00000430   x01_ra     0000000f
             197   N   00000430   402081b3   00000432   x02_sp     0000000b
             198   N   00000432   00000001   00000436   x03_gp     00000004
             199   N   00000436   00000001   00000438   ---        --------
             200   N   00000438   0000830e   0000043a   ---        --------
             201   N   0000043a   00000205   0000043c   x06_t1     00000004
             202   N   0000043c   00004289   0000043e   x04_tp     00000001
             203   N   0000043e   fe5217e3   00000440   x05_t0     00000002
             204   N   00000440   00004e91   0000042e   ---        --------
             207   N   0000042e   0000412d   00000430   x01_ra     0000000f
             208   N   00000430   402081b3   00000432   x02_sp     0000000b
             209   N   00000432   00000001   00000436   x03_gp     00000004
             210   N   00000436   00000001   00000438   ---        --------
             211   N   00000438   0000830e   0000043a   ---        --------
             212   N   0000043a   00000205   0000043c   x06_t1     00000004
             213   N   0000043c   00004289   0000043e   x04_tp     00000002
             214   N   0000043e   fe5217e3   00000440   x05_t0     00000002
             215   N   00000440   00004e91   00000444   ---        --------
             216   N   00000444   00004e55   00000446   x29_t4     00000004
             217   N   00000446   1bd31563   00000448   x28_t3     00000015
             218   N   00000448   00004201   0000044c   ---        --------
             219   N   0000044c   000040b5   0000044e   x04_tp     00000000
             220   N   0000044e   0000412d   00000450   x01_ra     0000000d
